03-05, Pit, Southern Kitchen, Seasoned Scrambled Eggs, Breakfast (7am-11am)
03-05, Pit, Create Your Own Omelette, Diced Tomatoes, Breakfast (7am-11am)
03-05, Pit, Create Your Own Omelette, Pico de Gallo, Breakfast (7am-11am)
03-05, Pit, Create Your Own Omelette, Diced Yellow Onion, Breakfast (7am-11am)
03-05, Pit, Create Your Own Omelette, Sliced Black Olives, Breakfast (7am-11am)
03-05, Pit, Create Your Own Omelette, Jalapeno Peppers, Breakfast (7am-11am)
03-05, Pit, Freshly Made Hot Bowl Of..., Homestyle Grits, Breakfast (7am-11am)
03-05, Pit, Freshly Made Hot Bowl Of..., Old Fashioned Oatmeal, Breakfast (7am-11am)
03-05, Pit, Select Breads, Blueberry Breakfast Bread, Breakfast (7am-11am)
03-05, Pit, Select Breads, Chocolate Chip Breakfast Loaf, Breakfast (7am-11am)
03-05, Pit, Select Breads, Double Dutch Breakfast Loaf, Breakfast (7am-11am)
03-05, Pit, Select Breads, Lemon-Poppyseed Bread, Breakfast (7am-11am)
03-05, Pit, Select Breads, Orange-Cranberry Breakfast Loaf, Breakfast (7am-11am)
03-05, Pit, Select Breads, Cappuccino Chocolate Chunk Muffin, Breakfast (7am-11am)
03-05, Pit, Select Breads, Apple Cinnamon Muffin, Breakfast (7am-11am)
03-05, Pit, Select Breads, Lemon-Poppyseed Muffin, Breakfast (7am-11am)
03-05, Pit, Select Breads, Blueberry Muffin, Breakfast (7am-11am)
03-05, Pit, Select Breads, White Bread Slice, Breakfast (7am-11am)
03-05, Pit, Select Breads, Wheat Bread Slice, Breakfast (7am-11am)
03-05, Pit, Select Breads, Multigrain Bread Slice, Breakfast (7am-11am)
03-05, Pit, Select Breads, Rye Bread Slice, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Plain Bagel, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Whole Wheat Bagel, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Blueberry Bagel, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Cinnamon Raisin Bagel, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Sesame Bagel, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Everything Bagel, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Orange Marmalade, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Strawberry Preserves, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Sun Butter, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Whipped Cream Cheese, Breakfast (7am-11am)
03-05, Pit, Bagel Station, Whipped Butter, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Overnight Chia Oats, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Blueberries, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Raspberries, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Strawberries, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Pineapple, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Red & Green Grapes, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Red Grapefruit, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Seedless Raisins, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Housemade Cinnamon-Honey Granola, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Honey, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Flax Seed, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Chia Seeds, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Dried Cranberries, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Blueberries, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Diced Mango, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Mixed Berry Mojo Smoothie, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Spring Break Smoothie, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Strawberry Banana Smoothie, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Peachy Keen Smoothie, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Endless Summer Smoothie, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Orange Cream Dream Smoothie, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Apples, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Oranges, Breakfast (7am-11am)
03-05, Pit, Chobani Yogurt And Fruit, Bananas, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, 2% Milk, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Skim Milk, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Chocolate Milk, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Brewed Coffee, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Madagascar Vanilla Coffee Creamer, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Salted Caramel Coffee Creamer, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Cinnamon Churro Coffee Creamer, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Uproot Oatmilk, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Uproot Chocolate Peamilk, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Uproot Soymilk, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Tractor Beverage Strawberry Dragonfruit, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Tractor Beverage Mango, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Tractor Beverage Unsweet Tea, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Tractor Beverage Farmer's Punch, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Tractor Beverage Mandarin Cardamom, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Rice Chex Cereal, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Cheerios Cereal, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Lucky Charms Cereal, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Froot Loops Cereal, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Apple Jacks Cereal, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Cinnamon Toast Crunch Cereal, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Rice Krispies, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Cocoa Puffs, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Raisin Bran Cereal, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Vanilla Soft Serve Ice Cream, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Chocolate Soft Serve Ice Cream, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Vanilla Frozen Yogurt, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Chocolate Frozen Yogurt, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Golden Malted Waffle, Breakfast (7am-11am)
03-05, Pit, Self Serve Options, Pancake & Waffle Syrup, Breakfast (7am-11am)
03-05, Pit, Southern Kitchen, Shredded Lamb Barbacoa, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen, Mexican Rice, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen, Charro Beans, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen, Fajita Vegetables, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen, Roasted Chipotle Sweet Potatoes, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen, Flour Tortilla, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen, Corn Tortilla, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen Corner, Chilaquiles Rojo with Eggs, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen Corner, Taco Seasoned Beef, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen Corner, Cotija Cheese, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen Corner, Salsa Roja, Lunch (11am-2:15pm)
03-05, Pit, Southern Kitchen Corner, Pickled Red Onion, Lunch (11am-2:15pm)
03-05, Pit, Allgood, Asian Five-Spice Chicken, Lunch (11am-2:15pm)
03-05, Pit, Allgood, Yellow Rice, Lunch (11am-2:15pm)
03-05, Pit, Allgood, Honey Roasted Carrots, Lunch (11am-2:15pm)
03-05, Pit, Allgood, Ginger Garlic Broccoli, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Beef Taco Filling, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Crunchy Taco Shell, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Black Bean & Roasted Corn Salsa, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Pico de Gallo, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Avocado, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Jalapeno Peppers, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Romaine, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Creation Station, Vegan Mozzarella Cheese, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Fresh Fruit Salad, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Mandarin Oranges, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Blueberries, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Sliced Strawberries, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Sunflower Seeds, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Fresh Mint, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Honey, Lunch (11am-2:15pm)
03-05, Pit, Allgood - Salad Bar, Chia Seeds, Lunch (11am-2:15pm)
03-05, Pit, Vegan Station, Vegetable Enchilada with Green Sauce, Lunch (11am-2:15pm)
03-05, Pit, Vegan Station, Spanish Rice, Lunch (11am-2:15pm)
03-05, Pit, Vegan Station, Fajita Vegetables, Lunch (11am-2:15pm)
03-05, Pit, Vegan Station, Mexican Fruit Salad, Lunch (11am-2:15pm)
03-05, Pit, Vegan Station, Mexican Street Corn Salad, Lunch (11am-2:15pm)
03-05, Pit, Vegan Station, Chili Lime Vinaigrette, Lunch (11am-2:15pm)
03-05, Pit, Vegan Station, Curried Cauliflower Soup, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Chef's Special, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Signature Burger, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Fresh Cut Fries, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Beyond Burger Patty, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Turkey Burger Patty, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Gardenburger Black Bean Patty, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, American Cheese, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Sliced Swiss Cheese, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Sliced Pepperjack Cheese, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Leaf Lettuce, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Sliced Tomatoes, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Sliced Red Onions, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Dill Pickle Slices, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Chipotle Mayonnaise, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Ranch Dressing, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Pico de Gallo, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Whole Grain Mustard, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Jalepeno Pepper Pimento Cheese, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Bacon Onion Jam, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Old-Fashioned Coleslaw, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Dill Pickle Spears, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Pickled Red Onion, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Pickled Carrot, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Pickled Okra, Lunch (11am-2:15pm)
03-05, Pit, Black & Gold Grill, Pickled Cucumber & Tomato Salad, Lunch (11am-2:15pm)
03-05, Pit, International Grill, Special Event, Lunch (11am-2:15pm)
03-05, Pit, International Grill - Continued, Special Event, Lunch (11am-2:15pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Philly Cheesesteak Pizza, Lunch (11am-2:15pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Caprese Pizza, Lunch (11am-2:15pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Fennel & Sausage Pizza, Lunch (11am-2:15pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Pepperoni Pizza, Lunch (11am-2:15pm)
03-05, Pit, Hearthstone Freshly Made Pizza, Cheese Pizza, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Flatbread Pizza, Flatbread, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Flatbread Pizza, Seasoned Cauliflower Pizza Crust, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Flatbread Pizza, Marinara Sauce, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Flatbread Pizza, Crumbled Sausage, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Flatbread Pizza, Pepperoni, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Flatbread Pizza, Shredded Mozzarella Cheese, Lunch (11am-2:15pm)
03-05, Pit, Today's Pasta Specials, Baked Penne with Meat Sauce, Lunch (11am-2:15pm)
03-05, Pit, Today's Pasta Specials, Antipasto Salad, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Whole Grain Penne Pasta, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Cavatappi, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Linguine, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Gluten Free Penne Pasta, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Marinara Sauce, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Homemade Alfredo Sauce, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Bolognese Sauce, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Basil Pesto, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Butter, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Minced Garlic, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Diced Seasoned Chicken, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Crumbled Sausage, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Crumbled Chorizo Sausage, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Pepperoni, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Diced Tofu, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Mussels, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Baby Spinach, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Broccoli Florets, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Diced Tomatoes, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Sweet Corn, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Green Peas, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Edamame, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Sliced Black Olives, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Diced Yellow Onion, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Roasted Red Peppers, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Artichoke Hearts, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Sun-Dried Tomatoes, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Diced Mixed Bell Peppers, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Mushrooms, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Shredded Parmesan Cheese, Lunch (11am-2:15pm)
03-05, Pit, Pastabilities, Breadsticks, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Fresh Cracked Scrambled Egg, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Cage Free Egg Whites, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Crumbled Sausage, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Crumbled Chorizo Sausage, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Diced Ham, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Real Bacon Pieces, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Shredded Cheddar Cheese, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Steamed Diced Red Potatoes, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Feta Cheese, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Broccoli Florets, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Baby Spinach, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Mushrooms, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Diced Mixed Bell Peppers, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Fire-Roasted Salsa, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Diced Tomatoes, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Pico de Gallo, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Diced Yellow Onion, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Sliced Black Olives, Lunch (11am-2:15pm)
03-05, Pit, Create Your Own Omelette, Jalapeno Peppers, Lunch (11am-2:15pm)
03-05, Pit, Freshly Made Hot Bowl Of..., Creamy Corn Chowder, Lunch (11am-2:15pm)
03-05, Pit, Freshly Made Hot Bowl Of..., Chicken Noodle Soup, Lunch (11am-2:15pm)
03-05, Pit, Deli Specials, Antipasto Salad, Lunch (11am-2:15pm)
03-05, Pit, Deli Specials, Old-Fashioned Coleslaw, Lunch (11am-2:15pm)
03-05, Pit, Deli Specials, Balsamic Marinated Grape Tomatoes, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Turkey Breast, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Virginia Ham, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Roast Beef, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Salami, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Deli Pepperoni, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Cheddar Cheese, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Pepperjack Cheese, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Provolone Cheese, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Leaf Lettuce, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Baby Spinach, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Tomatoes, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Cucumber, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Red Onions, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Dill Pickle Slices, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Bell Peppers, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Banana Peppers, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Sliced Black Olives, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Avocado, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Hummus, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Basil Pesto, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Honey Mustard Dressing, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Mayonnaise, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Chipotle Mayonnaise, Lunch (11am-2:15pm)
03-05, Pit, Marketplace Deli, Signature Chips, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, White Bread Slice, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, Wheat Bread Slice, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, Multigrain Bread Slice, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, Rye Bread Slice, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, Ciabatta Roll, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, Spinach and Herb Tortilla, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, Tomato Basil Wrap, Lunch (11am-2:15pm)
03-05, Pit, Select Breads, Flour Tortilla, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Plain Bagel, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Whole Wheat Bagel, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Blueberry Bagel, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Cinnamon Raisin Bagel, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Sesame Bagel, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Everything Bagel, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Orange Marmalade, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Strawberry Preserves, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Sun Butter, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Whipped Cream Cheese, Lunch (11am-2:15pm)
03-05, Pit, Bagel Station, Whipped Butter, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Cantaloupe, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Honeydew Melon, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Pineapple, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Red & Green Grapes, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Red Grapefruit, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Seedless Raisins, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Housemade Cinnamon-Honey Granola, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Honey, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Flax Seed, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Chia Seeds, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Dried Cranberries, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Blueberries, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Diced Mango, Lunch (11am-2:15pm)
03-05, Pit, Chobani Yogurt And Fruit, Mixed Berry Mojo Smoothie, Lunch (11am-2:15pm)
