2024-03-05_Pit.txt, Southern Kitchen, Seasoned Scrambled Eggs, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, Cappuccino Chocolate Chunk Muffin, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, Apple Cinnamon Muffin, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, Lemon-Poppyseed Muffin, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, Blueberry Muffin, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, White Bread Slice, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, Wheat Bread Slice, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, Multigrain Bread Slice, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Select Breads, Rye Bread Slice, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Plain Bagel, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Whole Wheat Bagel, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Blueberry Bagel, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Cinnamon Raisin Bagel, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Sesame Bagel, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Everything Bagel, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Orange Marmalade, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Strawberry Preserves, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Sun Butter, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Whipped Cream Cheese, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Bagel Station, Whipped Butter, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Plain Nonfat Greek Yogurt, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Nonfat Vanilla Greek Yogurt, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Nonfat Strawberry Greek Yogurt, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Overnight Chia Oats, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Blueberries, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Raspberries, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Strawberries, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Pineapple, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Red & Green Grapes, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Red Grapefruit, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Seedless Raisins, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Housemade Cinnamon-Honey Granola, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Honey, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Flax Seed, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Chia Seeds, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Dried Cranberries, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Blueberries, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Diced Mango, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Mixed Berry Mojo Smoothie, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Spring Break Smoothie, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Strawberry Banana Smoothie, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Peachy Keen Smoothie, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Endless Summer Smoothie, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Orange Cream Dream Smoothie, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Apples, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Oranges, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Chobani Yogurt And Fruit, Bananas, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, 2% Milk, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Skim Milk, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Chocolate Milk, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Brewed Coffee, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Madagascar Vanilla Coffee Creamer, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Salted Caramel Coffee Creamer, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Cinnamon Churro Coffee Creamer, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Uproot Oatmilk, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Uproot Chocolate Peamilk, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Uproot Soymilk, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Tractor Beverage Strawberry Dragonfruit, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Tractor Beverage Mango, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Tractor Beverage Unsweet Tea, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Tractor Beverage Farmer's Punch, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Tractor Beverage Mandarin Cardamom, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Rice Chex Cereal, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Cheerios Cereal, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Lucky Charms Cereal, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Froot Loops Cereal, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Apple Jacks Cereal, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Cinnamon Toast Crunch Cereal, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Rice Krispies, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Cocoa Puffs, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Raisin Bran Cereal, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Vanilla Soft Serve Ice Cream, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Chocolate Soft Serve Ice Cream, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Vanilla Frozen Yogurt, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Chocolate Frozen Yogurt, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Golden Malted Waffle, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Self Serve Options, Pancake & Waffle Syrup, BREAKFAST (7am-11am)
2024-03-05_Pit.txt, Southern Kitchen, Shredded Lamb Barbacoa, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen, Mexican Rice, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen, Charro Beans, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen, Fajita Vegetables, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen, Roasted Chipotle Sweet Potatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen, Flour Tortilla, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen, Corn Tortilla, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen Corner, Chilaquiles Rojo with Eggs, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen Corner, Taco Seasoned Beef, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen Corner, Cotija Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen Corner, Salsa Roja, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Southern Kitchen Corner, Pickled Red Onion, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood, Asian Five-Spice Chicken, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood, Yellow Rice, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood, Honey Roasted Carrots, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood, Ginger Garlic Broccoli, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Beef Taco Filling, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Crunchy Taco Shell, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Black Bean & Roasted Corn Salsa, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Pico de Gallo, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Avocado, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Jalapeno Peppers, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Romaine, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Creation Station, Vegan Mozzarella Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Fresh Fruit Salad, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Mandarin Oranges, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Blueberries, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Sliced Strawberries, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Sunflower Seeds, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Fresh Mint, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Honey, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Allgood - Salad Bar, Chia Seeds, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Vegan Station, Vegetable Enchilada with Green Sauce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Vegan Station, Spanish Rice, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Vegan Station, Fajita Vegetables, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Vegan Station, Mexican Fruit Salad, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Vegan Station, Mexican Street Corn Salad, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Vegan Station, Chili Lime Vinaigrette, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Vegan Station, Curried Cauliflower Soup, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Chef's Special, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Signature Burger, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Fresh Cut Fries, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Beyond Burger Patty, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Turkey Burger Patty, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Gardenburger Black Bean Patty, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, American Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Sliced Swiss Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Sliced Pepperjack Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Leaf Lettuce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Sliced Tomatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Sliced Red Onions, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Dill Pickle Slices, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Chipotle Mayonnaise, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Ranch Dressing, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Pico de Gallo, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Whole Grain Mustard, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Jalepeno Pepper Pimento Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Bacon Onion Jam, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Old-Fashioned Coleslaw, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Dill Pickle Spears, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Pickled Red Onion, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Pickled Carrot, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Pickled Okra, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Black & Gold Grill, Pickled Cucumber & Tomato Salad, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, International Grill, Special Event, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, International Grill - Continued, Special Event, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Hearthstone Freshly Made Pizza, Philly Cheesesteak Pizza, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Hearthstone Freshly Made Pizza, Caprese Pizza, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Hearthstone Freshly Made Pizza, Fennel & Sausage Pizza, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Hearthstone Freshly Made Pizza, Pepperoni Pizza, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Hearthstone Freshly Made Pizza, Cheese Pizza, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Flatbread Pizza, Flatbread, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Flatbread Pizza, Seasoned Cauliflower Pizza Crust, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Flatbread Pizza, Marinara Sauce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Flatbread Pizza, Crumbled Sausage, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Flatbread Pizza, Pepperoni, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Flatbread Pizza, Shredded Mozzarella Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Today's Pasta Specials, Baked Penne with Meat Sauce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Today's Pasta Specials, Antipasto Salad, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Whole Grain Penne Pasta, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Cavatappi, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Linguine, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Gluten Free Penne Pasta, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Marinara Sauce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Homemade Alfredo Sauce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Bolognese Sauce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Basil Pesto, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Butter, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Minced Garlic, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Diced Seasoned Chicken, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Crumbled Sausage, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Crumbled Chorizo Sausage, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Pepperoni, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Diced Tofu, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Mussels, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Baby Spinach, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Broccoli Florets, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Diced Tomatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Sweet Corn, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Green Peas, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Edamame, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Sliced Black Olives, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Diced Yellow Onion, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Roasted Red Peppers, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Artichoke Hearts, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Sun-Dried Tomatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Diced Mixed Bell Peppers, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Mushrooms, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Shredded Parmesan Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Pastabilities, Breadsticks, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Fresh Cracked Scrambled Egg, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Cage Free Egg Whites, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Crumbled Sausage, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Crumbled Chorizo Sausage, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Diced Ham, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Real Bacon Pieces, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Shredded Cheddar Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Steamed Diced Red Potatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Feta Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Broccoli Florets, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Baby Spinach, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Mushrooms, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Diced Mixed Bell Peppers, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Fire-Roasted Salsa, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Diced Tomatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Pico de Gallo, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Diced Yellow Onion, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Sliced Black Olives, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Create Your Own Omelette, Jalapeno Peppers, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Freshly Made Hot Bowl Of..., Creamy Corn Chowder, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Freshly Made Hot Bowl Of..., Chicken Noodle Soup, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Deli Specials, Antipasto Salad, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Deli Specials, Old-Fashioned Coleslaw, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Deli Specials, Balsamic Marinated Grape Tomatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Sliced Turkey Breast, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Virginia Ham, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Sliced Roast Beef, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Sliced Salami, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Deli Pepperoni, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Cheddar Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Sliced Pepperjack Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Sliced Provolone Cheese, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Leaf Lettuce, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Baby Spinach, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Sliced Tomatoes, LUNCH (11am-2:15pm)
2024-03-05_Pit.txt, Marketplace Deli, Sliced Cucumber, LUNCH (11am-2:15pm)
